congress;chamber;icpsr;state_icpsr;district_code;state_abbrev;party_code;occupancy;last_means;bioname;bioguide_id;born;died;nominate_dim1;nominate_dim2;nominate_log_likelihood;nominate_geo_mean_probability;nominate_number_of_votes;nominate_number_of_errors;conditional;nokken_poole_dim1;nokken_poole_dim2
116;House;21101;13;23;NY;200;;;Reed, Tom;R000585;1971;;0.278;0.112;-156.09194;0.81715;773;66;;0.235;0.202
116;House;21956;14;14;PA;200;;;Reschenthaler, Guy;R000610;1983;;0.35;0.435;-91.5691;0.88705;764;34;;0.357;0.444
116;House;21540;13;4;NY;100;;;Rice, Kathleen;R000602;1965;;-0.285;0.027;-54.69128;0.93118;767;25;;-0.272;0.227
116;House;21359;48;7;SC;200;;;Rice, Tom;R000597;1957;;0.602;-0.28;-157.18931;0.81642;775;79;;0.631;-0.322
116;House;21137;45;2;LA;100;;;Richard Shelby;R000588;1973;;-0.486;0.332;-40.41531;0.94685;740;15;;-0.663;0.465
116;House;21957;40;5;VA;200;;;Riggleman, Denver;R000611;1970;;0.485;-0.039;-114.4313;0.85849;750;39;;0.485;-0.039
116;Senate;40902;63;0;ID;200;;;Risch, Jim;R000584;1943;;0.628;0.565;-26.60075;0.95705;606;15;;0.577;0.627
116;Senate;14852;32;0;KS;200;;;Roberts, Pat;R000307;1936;;0.413;-0.09;-22.82029;0.96181;586;2;;0.336;0.208
116;House;21192;41;2;AL;200;;;Roby, Martha;R000591;1976;;0.362;0.658;-88.39725;0.88262;708;30;;0.345;0.672
116;House;20947;54;1;TN;200;;;Roe, Phil;R000582;1945;;0.486;0.022;-90.18898;0.88934;769;37;;0.459;0.127
116;House;14854;51;5;KY;200;;;Rogers, Harold;R000395;1937;;0.337;0.11;-88.13396;0.89342;782;28;;0.337;0.586
116;House;20301;41;3;AL;200;;;Rogers, Mike;R000575;1958;;0.355;0.459;-168.23332;0.79931;751;70;;0.52;0.369
116;Senate;41902;67;0;UT;200;;;Romney, Mitt;R000615;1947;;0.388;0.715;-72.85635;0.88759;611;26;;0.387;0.716
116;House;21742;43;19;FL;200;;;Rooney, Francis;R000607;1953;;0.507;-0.513;-258.94208;0.6118;527;131;;0.492;-0.657
116;House;21959;54;6;TN;200;;;Rose, John W.;R000612;1965;;0.67;0.078;-106.58884;0.87088;771;47;;0.67;0.078
116;House;21958;13;11;NY;100;;;Rose, Max;R000613;1986;;-0.174;0.263;-113.66081;0.8652;785;43;;-0.174;0.263
116;Senate;21743;65;0;NV;100;;;Rosen, Jacky;R000608;1957;;-0.282;0.291;-60.36952;0.90607;612;19;;-0.315;0.339
116;House;21960;71;48;CA;100;;;Rouda, Harley;R000616;1961;;-0.335;0.558;-42.23527;0.94709;777;11;;-0.335;0.558
116;Senate;41505;37;0;SD;200;;;Rounds, Mike;R000605;1954;;0.408;0.123;-37.28738;0.93502;555;20;;0.438;0.384
116;House;21544;47;7;NC;200;;;Rouzer, David;R000603;1972;;0.574;0.151;-107.75194;0.87159;784;46;;0.548;0.117
116;House;21961;49;21;TX;200;;;Roy, Chip;R000614;1972;;0.8;-0.6;-138.43427;0.83661;776;54;;0.919;-0.395
116;House;29317;71;40;CA;100;;;Roybal-Allard, Lucille;R000486;1941;;-0.47;-0.186;-15.19798;0.98065;778;6;;-0.398;-0.118
116;Senate;41102;43;0;FL;200;;;Rubio, Marco;R000595;1971;;0.568;-0.271;-46.40832;0.92423;589;18;;0.521;-0.12
116;House;21311;71;36;CA;100;;;Ruiz, Raul;R000599;1972;;-0.243;0.06;-42.63874;0.94772;794;18;;-0.392;0.218
116;House;20329;52;2;MD;100;;;Ruppersberger, C. A. Dutch;R000576;1946;;-0.295;0.133;-24.04072;0.96973;782;6;;-0.292;0.01
116;House;29346;21;1;IL;100;;;Rush, Bobby L.;R000515;1946;;-0.478;-0.203;-23.10394;0.97006;760;6;;-0.481;-0.17
116;House;21744;43;4;FL;200;;;Rutherford, John;R000609;1952;;0.396;0.166;-162.80739;0.80808;764;64;;0.425;0.007
116;House;20343;24;13;OH;100;;;Ryan, Tim;R000577;1973;;-0.403;0.213;-19.61462;0.96986;641;9;;-0.361;0.029
116;House;20310;71;38;CA;100;;;Sánchez, Linda;S001156;1969;;-0.508;-0.137;-12.68861;0.98366;770;5;;-0.526;-0.043
116;Senate;29147;6;0;VT;328;;;Sanders, Bernie;S000033;1941;;-0.527;-0.379;-35.66478;0.87089;258;14;;-0.806;-0.302
116;House;20724;52;3;MD;100;;;Sarbanes, John P.;S001168;1962;;-0.468;-0.074;-15.97444;0.98001;791;6;;-0.415;-0.092
116;Senate;41503;35;0;NE;200;;;Sasse, Ben;S001197;1972;;0.789;-0.192;-35.5682;0.94197;595;14;;0.716;-0.008
116;House;20759;45;1;LA;200;;;Scalise, Steve;S001176;1965;;0.563;0.154;-75.91749;0.90771;784;34;;0.58;0.386
116;House;21762;14;5;PA;100;;;Scanlon, Mary-Gay;S001205;1959;;-0.487;0.037;-14.96077;0.98126;791;5;;-0.537;0.121
116;House;29911;21;9;IL;100;;;Schakowsky, Jan;S001145;1944;;-0.606;-0.269;-13.8009;0.98255;784;4;;-0.498;-0.487
116;Senate;41112;82;0;HI;100;;;Schatz, Brian;S001194;1972;;-0.448;-0.106;-92.27113;0.85545;591;40;;-0.476;-0.095
116;House;20104;71;28;CA;100;;;Schiff, Adam;S001150;1960;;-0.349;-0.128;-14.57239;0.98177;792;4;;-0.427;-0.01
116;House;21326;21;10;IL;100;;;Schneider, Bradley;S001190;1961;;-0.174;-0.199;-35.82877;0.95561;789;9;;-0.293;0.017
116;House;20944;72;5;OR;100;;;Schrader, Kurt;S001180;1951;;-0.188;0.06;-114.78844;0.8625;776;51;;-0.137;0.089
116;House;21962;73;8;WA;100;;;Schrier, Kim;S001216;1968;;-0.347;0.446;-37.10496;0.95423;792;18;;-0.347;0.446
116;Senate;14858;13;0;NY;100;;;Schumer, Chuck;S000148;1950;;-0.359;-0.407;-101.64363;0.84789;616;42;;-0.413;-0.409
116;House;21105;61;6;AZ;200;;;Schweikert, David;S001183;1962;;0.589;-0.321;-197.40747;0.77938;792;92;;0.517;-0.295
116;House;21123;44;8;GA;200;;;Scott, Austin;S001189;1969;;0.569;0.193;-93.76962;0.88686;781;33;;0.563;0.328
116;House;20321;44;13;GA;100;;;Scott, David;S001157;1945;;-0.302;0.164;-23.38266;0.97069;786;5;;-0.361;0.12
116;Senate;41903;43;0;FL;200;;;Scott, Rick;S001217;1952;;0.54;0.076;-48.8335;0.92056;590;23;;0.54;0.076
116;House;39307;40;3;VA;100;;;Scott, Robert C.;S000185;1947;;-0.45;0.015;-38.52886;0.95258;793;14;;-0.38;0.122
116;Senate;21173;48;0;SC;200;;;Scott, Tim;S001184;1965;;0.637;-0.005;-41.23911;0.93463;610;19;;0.561;0.077
116;House;14657;25;5;WI;200;;;Sensenbrenner, F. James;S000244;1943;;0.638;-0.58;-162.1753;0.78586;673;82;;0.572;-0.267
116;House;29134;13;15;NY;100;;;Serrano, José E.;S000248;1943;;-0.491;-0.377;-11.46073;0.98378;701;4;;-0.435;-0.299
116;House;21102;41;7;AL;100;;;Sewell, Terri A.;S001185;1965;;-0.391;0.402;-28.35717;0.96393;772;11;;-0.431;0.386
